UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
6.22E+21,Chitra,18 -24,Female,Yes,"Family Member
Friend",No,ITE,C2C Social Media Invasion,7,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,4,5,2,2,5,5,2,2,4,5,5,5,5,5,5,5,5,5,5,5,4.25,4.5,0.25,Y,2,2,2,1,3,5,4,1,1,1,2.4,2,-0.4,N,5,5,4,4,1,4,3,5,4,5,4,5,4,5,4,5,4,5,4,5,3.7,4.7,1,Y,3,5,3,3,4,4,4,4,3.5,4,0.5,Y,5,4,4,3,2,3,2,2,3.25,3.25,0,N,84,16-07-21 2:57
4521420J26,Chitra,18 -24,Female,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,4,4,4,4,3,4,3,3,5,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,2,3,3.38,3.25,-0.13,N,4,3,3,2,3,3,2,3,3,3,3,2.8,-0.2,N,4,3,4,3,5,4,5,3,4,3,5,4,5,4,4,3,4,3,4,3,4.4,3.4,-1,N,3,4,3,3,3,3,4,4,3.25,3.5,0.25,Y,4,3,3,3,4,3,3,2,3.5,2.75,-0.75,N,92,16-07-21 13:59
6143916J78,Chitra,18 -24,Male,Yes,Friend,Yes,Polytechnic,C2C Social Media Invasion,5,5,5,5,4,5,4,4,5,3,3,4,3,5,3,5,3,5,3,3,3,5,3,5,3,2,3,3,3,3,3,3,3,3,3,3,3.25,3.81,0.56,Y,3,3,3,3,3,4,3,3,3,3,3,3.2,0.2,Y,4,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,2.9,-0.2,N,3,4,3,2,3,4,5,4,3.5,3.5,0,N,3,3,3,3,3,3,3,3,3,2.75,-0.25,N,103,21-07-21 13:01
4378S141D55,Chitra,25 - 34,Female,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,106,21-07-21 13:21
5073399A21,Chitra,18 -24,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,6,4,4,4,2,3,3,3,3,3,3,2,2,2,3,3,3,3,4,3,3,3,2,3,3,3,4,4,4,3,3,2,3,3,3,3,3,2.88,-0.13,N,3,2,5,4,2,2,4,4,4,3,3.6,3,-0.6,N,4,3,4,3,3,4,5,3,4,3,3,3,2,2,3,2,3,2,3,2,3.4,2.8,-0.6,N,2,4,3,4,3,3,3,3,2.75,3.5,0.75,Y,3,3,4,3,4,4,4,4,3.75,3.25,-0.5,N,72,15-07-21 2:30
7093188C14,Chitra,45 - 54,Female,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,8,5,5,5,2,5,3,5,5,4,2,4,1,5,5,4,5,5,5,5,4,1,1,1,1,2,1,5,4,5,4,5,2,5,2,5,2.94,4.13,1.19,Y,4,5,5,2,5,5,5,1,1,5,4,3.6,-0.4,N,3,5,5,1,5,5,5,5,4,5,5,5,5,5,2,5,3,5,3,3,4,4.4,0.4,Y,2,5,4,4,3,5,4,5,3.25,4.75,1.5,Y,1,1,1,5,2,2,1,2,1.25,3,1.75,Y,466,29-08-21 5:00
2382780J13,Chitra,18 -24,Female,Yes,"Friend
Classmate",No,Upper Secondary School,C2C Social Media Invasion,7,5,5,5,5,4,1,5,5,5,4,4,1,2,3,4,5,5,2,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4.38,0.38,Y,5,4,1,3,5,4,1,2,4,4,3.2,3.4,0.2,Y,4,5,5,5,4,4,5,4,5,5,5,4,5,4,4,4,5,5,4,4,4.6,4.4,-0.2,N,5,5,5,5,5,5,5,5,5,5,0,N,2,3,2,2,4,2,1,2,2.25,2.25,0,N,64,14-07-21 14:27
5439938Z42,Chitra,18 -24,Female,Yes,"Friend
Partner (BF/GF)",No,Upper Secondary School,C2C Social Media Invasion,8,5,5,5,3,5,5,1,5,5,3,5,2,2,3,3,5,5,5,1,3,5,4,1,2,1,5,4,5,5,5,4,3,5,3,3,3.81,3.44,-0.38,N,2,4,1,2,1,4,1,1,5,5,2,3.2,1.2,Y,5,5,5,5,5,5,5,3,3,2,5,5,5,5,5,5,5,5,5,5,4.8,4.5,-0.3,N,5,5,5,5,5,5,5,5,5,5,0,N,4,5,2,1,1,1,1,1,2,2.25,0.25,Y,74,15-07-21 2:56
3220934F57,Chitra,25 - 34,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,7,5,5,5,5,5,4,5,5,5,4,5,4,4,3,5,5,5,2,2,3,3,3,3,2,2,5,5,5,5,5,5,5,5,5,5,4.06,4.31,0.25,Y,2,1,3,2,3,4,2,1,5,5,3,2.6,-0.4,N,5,5,5,4,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,4.9,4.6,-0.3,N,5,5,2,1,4,5,5,5,4,4,0,N,3,3,2,2,3,2,2,2,2.5,2,-0.5,N,76,15-07-21 3:58
2237844F87,Chitra,55 - 64,Female,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,5,4,4,4,5,5,5,5,5,5,3,4,4,3,3,4,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,5,4.38,4.63,0.25,Y,4,4,4,3,3,3,2,2,4,5,3.4,3.4,0,N,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.8,0,N,5,5,4,4,1,5,1,5,2.75,4.75,2,Y,2,1,3,3,4,4,5,3,3.5,2.5,-1,N,893,02-09-21 11:43
1.45E+52,Chitra,18 -24,Female,Yes,Friend,No,ITE,C2C Social Media Invasion,6,5,5,5,4,5,4,5,4,5,5,5,5,5,4,5,5,5,2,2,4,5,2,3,4,5,5,5,5,5,4,5,4,5,4,5,4.06,4.69,0.63,Y,4,5,3,3,4,4,4,3,3,4,3.6,3.8,0.2,Y,5,5,5,5,3,5,4,5,5,1,5,5,4,5,5,5,5,5,5,5,4.6,4.6,0,N,4,5,5,5,4,5,4,5,4.25,5,0.75,Y,4,5,4,5,2,2,1,1,2.75,3.75,1,Y,78,15-07-21 8:12
8587568139,Chitra,18 -24,Male,Yes,Friend,No,ITE,C2C Social Media Invasion,4,5,5,5,4,4,4,4,4,4,2,2,2,2,4,4,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.56,3.63,0.06,Y,3,2,2,2,4,3,2,2,4,4,3,2.6,-0.4,N,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,2,3.7,3.8,0.1,Y,4,4,4,4,4,4,4,4,4,4,0,N,4,4,4,4,4,4,4,4,4,3.25,-0.75,N,82,15-07-21 16:34
7221339N66,Chitra,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,3,3,5,5,5,5,5,5,5,5,3,3,4,4.06,0.06,Y,5,5,3,2,4,5,2,2,3,3,3.4,3.4,0,N,4,5,5,4,4,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4.2,4.7,0.5,Y,4,5,4,4,4,5,4,5,4,4.75,0.75,Y,1,1,3,3,3,3,3,3,2.5,2.75,0.25,Y,90,16-07-21 13:09
2301325597,Chitra,18 -24,Female,No,Not Applicable,No,ITE,C2C Social Media Invasion,7,5,5,5,5,5,5,5,5,5,3,3,3,2,2,2,3,4,4,4,4,4,3,4,3,4,4,5,4,5,4,4,4,4,4,4,3.75,4,0.25,Y,3,4,1,1,5,5,2,1,3,3,2.8,2.8,0,N,5,5,5,4,4,4,4,5,4,4,5,5,5,5,4,4,3,4,3,3,4.2,4.3,0.1,Y,4,5,5,5,4,4,4,4,4.25,4.5,0.25,Y,3,4,4,4,2,2,3,3,3,3.25,0.25,Y,94,16-07-21 18:37
3536136C76,Chitra,18 -24,Female,Yes,"Family Member
Friend
Colleague
Classmate",No,ITE,C2C Social Media Invasion,7,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,4,5,4,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4.38,4.19,-0.19,N,5,5,3,5,1,3,5,3,3,1,3.4,3.4,0,N,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4.5,4.5,0,N,4,5,4,4,5,5,5,5,4.5,4.75,0.25,Y,4,5,1,1,1,1,3,2,2.25,2.5,0.25,Y,96,18-07-21 2:03
6570594B49,Chitra,18 -24,Male,Yes,"Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3,4,3,4,5,5,3,5,3,5,3,5,3,5,4.19,4.81,0.63,Y,4,4,3,5,5,5,3,3,3,4,3.6,4.2,0.6,Y,4,1,1,5,3,5,5,5,3,1,3,5,3,5,3,5,3,5,3,4,3.1,4,0.9,Y,4,3,3,3,5,5,5,5,4.25,4,-0.25,N,3,1,3,3,1,3,2,2,2.25,2.25,0,N,108,21-07-21 13:32
8757272F19,Chitra,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,4,4,5,5,5,5,5,5,5,2,3,4,4,5,5,5,5,3,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,4,4,4.38,4.69,0.31,Y,3,4,3,3,3,2,2,2,4,5,3,3.2,0.2,Y,4,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.5,4.8,0.3,Y,4,5,4,5,5,4,5,5,4.5,4.75,0.25,Y,4,5,5,5,4,4,5,5,4.5,4,-0.5,N,583,29-08-21 8:20
7948736J38,Chitra,18 -24,Female,Yes,Friend,No,ITE,C2C Social Media Invasion,5,5,5,5,5,4,5,4,5,4,4,3,5,5,5,5,5,5,4,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4.63,4.31,-0.31,N,4,4,4,3,2,3,3,2,1,3,2.8,3,0.2,Y,3,4,4,4,3,4,5,5,4,3,4,3,4,4,4,4,3,4,4,4,3.8,3.9,0.1,Y,4,4,4,4,4,4,5,4,4.25,4,-0.25,N,3,5,3,5,2,3,2,3,2.5,4.5,2,Y,823,31-08-21 14:48
2754808996,Chitra,25 - 34,Female,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,3,4,5,5,5,5,5,4,3,3,2,2,4,3,3,2,5,4,4,5,3,4,3,2,4,3,5,4,5,5,5,5,5,5,2,2,3.94,3.63,-0.31,N,4,3,3,3,5,4,2,2,2,4,3.2,3.2,0,N,5,5,1,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4.3,4.9,0.6,Y,4,5,5,4,3,3,5,5,4.25,4.25,0,N,4,5,5,5,4,4,5,5,4.5,4.25,-0.25,N,702,29-08-21 15:38
6524063H40,Chitra,25 - 34,Female,Yes,Family Member,No,University Degree,C2C Social Media Invasion,6,4,4,4,3,3,4,1,3,5,5,5,5,5,3,2,4,5,2,2,5,5,2,3,3,3,3,5,3,4,4,5,4,5,2,2,3.44,3.75,0.31,Y,5,3,3,2,4,4,2,2,4,4,3.6,3,-0.6,N,4,5,5,5,5,5,5,5,3,3,5,5,5,5,4,4,4,4,3,3,4.3,4.4,0.1,Y,4,5,5,4,4,5,4,5,4.25,4.75,0.5,Y,5,5,5,5,3,3,2,2,3.75,4.5,0.75,Y,906,02-09-21 12:35
