UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
6.33E+20,Muhamad Hadi Suhaimi,18 -24,Male,No,Not Applicable,No,ITE,C2C Social Media Invasion,3,4,4,4,3,3,4,3,4,3,3,3,4,3,3,2,4,3,3,1,3,4,2,3,3,3,3,4,4,4,4,3,4,3,3,3,3.38,3,-0.38,N,2,4,3,2,3,3,3,3,2,2,2.6,2.8,0.2,Y,5,5,3,4,3,4,4,5,3,3,4,5,4,5,4,5,4,5,3,4,3.7,4.4,0.7,Y,3,4,3,4,3,4,3,4,3,4,1,Y,3,3,4,3,3,2,2,1,3,2.5,-0.5,N,6,44375.31458
4853766D63,Muhamad Hadi Suhaimi,18 -24,Male,Yes,Friend,No,ITE,C2C Social Media Invasion,6,4,4,4,5,5,5,5,5,5,5,4,4,1,3,3,5,3,3,3,3,4,3,5,5,4,5,3,5,5,5,5,5,5,3,3,4.31,3.94,-0.38,N,2,1,1,1,1,3,1,4,5,5,2,2.8,0.8,Y,5,5,4,3,3,3,4,1,5,3,5,3,5,3,5,4,5,5,3,3,4.4,3.3,-1.1,N,3,5,4,1,5,5,5,5,4.25,4,-0.25,N,5,1,2,3,3,3,1,2,2.75,2,-0.75,N,6,28-06-21 7:33
2817547996,Muhamad Hadi Suhaimi,18 -24,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,2,3,5,5,5,5,5,5,5,5,5,5,4.69,4.75,0.06,Y,5,3,3,2,3,3,1,1,1,1,2.6,2,-0.6,N,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.8,0,N,3,5,5,5,5,5,5,5,4.5,5,0.5,Y,2,3,3,3,2,1,1,1,2,2.25,0.25,Y,24,30-06-21 15:08
8136196I54,Muhamad Hadi Suhaimi,18 -24,Male,Yes,Colleague,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,3,3,3,3,4,3,3,3,4,4,3,3,4,4,4,4,2,4,3,3,2,2,4,4,4,4,3,3,3,3,2,3,3.19,3.31,0.13,Y,4,3,3,3,4,4,2,2,3,4,3.2,3.2,0,N,4,3,3,2,3,4,5,4,2,3,4,4,4,4,4,4,3,3,2,2,3.4,3.3,-0.1,N,3,3,4,3,3,3,2,3,3,3,0,N,3,2,3,4,4,4,4,3,3.5,2.75,-0.75,N,25,30-06-21 16:31
2172194S89,Muhamad Hadi Suhaimi,18 -24,Male,Yes,"Friend
Colleague",No,Polytechnic,C2C Social Media Invasion,3,5,5,5,4,2,5,2,5,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,5,2,3,2,3,2,3,2,3.44,2,-1.44,N,2,2,3,2,3,4,3,2,3,4,2.8,2.8,0,N,4,4,3,4,3,4,3,2,4,4,4,4,4,4,4,4,4,4,3,4,3.6,3.7,0.1,Y,3,4,3,2,3,4,4,4,3.25,3.5,0.25,Y,3,2,3,2,3,2,3,2,3,2.25,-0.75,N,26,30-06-21 16:34
6.86E+102,Muhamad Hadi Suhaimi,18 -24,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,8,5,5,5,2,2,3,3,3,3,1,3,2,2,2,3,4,3,1,3,5,2,2,2,1,2,5,3,3,4,4,3,3,3,3,3,2.75,2.75,0,N,3,3,1,2,3,3,3,2,4,4,2.8,2.8,0,N,5,4,4,4,5,4,3,3,3,3,5,4,5,4,4,4,3,3,3,3,4,3.6,-0.4,N,3,3,2,3,3,3,4,3,3,3,0,N,3,3,4,3,2,3,3,3,3,2.75,-0.25,N,68,14-07-21 17:07
3852626I46,Muhamad Hadi Suhaimi,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,4,4,4,4,5,4,5,4,5,3,5,3,4,3,4,3,5,2,3,3,3,3,4,3,4,5,5,5,5,5,5,5,5,4,5,3.69,4.5,0.81,Y,2,2,2,1,4,4,2,2,4,5,2.8,2.8,0,N,5,5,4,3,4,5,2,4,4,5,5,5,5,5,5,5,5,5,4,5,4.3,4.6,0.3,Y,3,5,3,4,3,4,4,4,3.25,4.25,1,Y,3,3,3,3,3,3,5,5,3.5,3,-0.5,N,88,16-07-21 7:18
3226897D23,Muhamad Hadi Suhaimi,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,7,5,5,5,2,4,4,4,5,5,3,5,4,2,5,4,4,5,1,2,2,3,2,4,2,2,5,5,4,4,2,5,4,5,3,4,3.25,3.94,0.69,Y,3,2,2,4,4,4,2,2,1,2,2.4,2.8,0.4,Y,5,5,3,5,4,4,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4.4,4.6,0.2,Y,3,4,2,4,2,4,5,4,3,4,1,Y,5,5,5,5,3,2,2,2,3.75,4.25,0.5,Y,109,21-07-21 13:36
4615547861,Muhamad Hadi Suhaimi,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,4,4,3,4,3,4,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3.44,3.69,0.25,Y,2,3,2,2,4,4,2,2,4,4,2.8,3,0.2,Y,4,4,3,2,4,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3.6,3.6,0,N,3,4,3,4,3,4,3,4,3,4,1,Y,3,4,4,3,3,3,4,4,3.5,3,-0.5,N,119,22-07-21 6:53
2764524G38,Muhamad Hadi Suhaimi,18 -24,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,4,3,4,5,4,1,1,5,5,3,5,4,5,4,5,4,5,3,3,4,5,1,5,2,5,4,5,4,5,4,5,4,5,4,5,3.5,4.56,1.06,Y,2,4,2,4,4,2,3,5,4,2,3,3.4,0.4,Y,5,2,4,4,4,4,3,5,4,5,5,4,5,5,5,3,5,3,5,3,4.5,4,-0.5,N,3,5,4,3,4,5,4,5,3.75,4.5,0.75,Y,4,5,2,5,3,2,2,1,2.75,4,1.25,Y,132,25-07-21 12:49
