UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
6075901J94,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,3,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,4,5,4,5,4,5,2,4,4.25,4.75,0.5,Y,4,5,4,3,1,1,5,5,5,4,3.8,3.6,-0.2,N,2,3,4,2,5,4,5,5,4,4,5,5,5,5,3,4,3,3,3,3,3.9,3.8,-0.1,N,4,5,4,5,4,4,4,4,4,4.5,0.5,Y,5,4,4,5,4,4,4,4,4.25,4.25,0,N,411,28-08-21 13:28
3636773N44,Khair,18 -24,Male,Yes,Colleague,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,4,4,4,4,4,4,3,2,2,2,4,4,5,4,4,2,3,3,4,2,3,2,4,4,4,4,4,4,4,4,3,4,3.69,3.31,-0.38,N,4,2,2,3,3,2,3,2,2,4,2.8,2.6,-0.2,N,4,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,5,4,4,4,4,4,0,N,4,4,3,3,2,4,4,4,3.25,3.75,0.5,Y,3,2,3,4,1,2,4,4,2.75,3,0.25,Y,399,28-08-21 10:17
7888388G84,Khair,35 - 44,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,4,2,4,4,5,4,5,4,4,1,4,4,4,4,3,4,5,4,5,1,5,5,5,5,5,5,4.56,3.88,-0.69,N,3,2,2,2,2,2,3,2,2,5,2.4,2.6,0.2,Y,5,5,3,5,3,5,4,4,1,5,4,5,5,5,5,5,4,5,4,5,3.8,4.8,1,Y,4,5,3,4,5,5,5,5,4.25,4.75,0.5,Y,4,2,5,3,2,3,4,4,3.75,3,-0.75,N,194,07-08-21 4:41
1332835O72,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,4,4,4,4,4,4,5,4,5,2,4,2,3,3,3,5,4,1,2,4,4,3,3,3,4,3,4,3,4,3,5,3,5,4,5,3.19,4,0.81,Y,1,2,1,2,3,3,2,2,3,3,2,2.4,0.4,Y,5,5,5,4,4,4,3,2,2,1,4,5,4,5,4,5,4,5,3,5,3.8,3.9,0.1,Y,5,4,3,4,3,4,4,4,3.75,4,0.25,Y,3,3,3,4,2,1,3,4,2.75,2.75,0,N,945,03-09-21 4:19
8300706R75,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,3,5,5,3,3,5,5,5,5,5,5,5,5,4,5,4.5,4.69,0.19,Y,5,5,4,3,1,1,3,2,5,5,3.6,3.2,-0.4,N,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,4,5,4.6,4.9,0.3,Y,5,5,5,4,5,5,5,5,5,4.75,-0.25,N,3,3,5,5,3,3,3,3,3.5,4,0.5,Y,669,29-08-21 10:50
2047785H75,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,4,4,4,5,4,4,1,1,4,4,3,3,4,4,2,2,2,2,4,4,2,2,5,5,5,5,5,5,4,4,2,4,3.44,3.63,0.19,Y,2,4,2,2,3,2,2,2,2,4,2.2,2.8,0.6,Y,4,4,5,5,4,4,5,2,5,4,5,5,5,5,4,4,4,4,2,3,4.3,3.9,-0.4,N,5,5,3,3,5,4,5,5,4.5,4.25,-0.25,N,5,5,5,5,4,2,5,5,4.75,4,-0.75,N,649,29-08-21 9:58
4590688D33,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,4,4,4,4,5,5,5,5,5,5,4,4,4,5,3,3,5,5,4,4,3,4,5,5,3,4,5,5,3,5,4,5,4,5,4,5,4.13,4.63,0.5,Y,5,5,4,4,3,2,3,2,5,5,4,3.6,-0.4,N,5,5,5,5,4,5,2,2,4,4,5,5,5,5,4,4,4,5,3,4,4.1,4.3,0.2,Y,5,5,4,4,4,4,5,5,4.5,4.5,0,N,5,4,5,4,2,2,3,4,3.75,2.75,-1,N,606,29-08-21 8:57
8607447D18,Khair,18 -24,Male,Yes,"Family Member
Friend",No,Polytechnic,C2C Social Media Invasion,4,3,5,5,1,5,5,5,5,5,5,5,5,5,4,5,5,5,2,2,1,4,1,4,1,2,5,5,4,5,5,5,5,5,5,5,3.69,4.5,0.81,Y,4,4,5,4,4,4,4,1,4,4,4.2,3.4,-0.8,N,4,5,4,5,2,5,2,4,5,5,2,5,5,5,5,5,5,5,5,5,3.9,4.9,1,Y,5,5,4,5,5,5,5,5,4.75,5,0.25,Y,5,1,5,5,4,2,2,1,4,3.25,-0.75,N,595,29-08-21 8:42
9009818J44,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,5,4,5,5,5,4,4,4,2,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.69,4.75,0.06,Y,3,5,4,3,4,4,3,1,5,5,3.8,3.6,-0.2,N,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.8,4.5,-0.3,N,5,5,3,5,4,5,4,5,4,5,1,Y,4,5,5,5,5,5,5,5,4.75,4.5,-0.25,N,587,29-08-21 8:23
5922864P68,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,5,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,4.56,4.63,0.06,Y,3,5,3,4,3,3,3,3,4,4,3.2,3.8,0.6,Y,4,3,4,4,4,4,5,5,5,1,5,5,5,5,5,5,4,5,4,5,4.5,4.1,-0.4,N,5,4,3,4,5,4,4,4,4.25,4,-0.25,N,5,4,5,4,3,2,4,3,4.25,3.75,-0.5,N,538,29-08-21 6:57
2773668I66,Khair,18 -24,Male,Yes,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.88,5,0.13,Y,5,5,5,3,3,3,5,5,5,5,4.6,4.2,-0.4,N,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4.6,4.6,0,N,5,5,5,5,5,5,5,5,5,5,0,N,5,3,5,5,3,3,5,5,4.5,3.5,-1,N,489,29-08-21 6:12
6831260G50,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,4.69,4.88,0.19,Y,3,2,2,2,4,4,2,2,5,5,3.2,3,-0.2,N,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,5,5,5,5,5,5,5,5,5,5,0,N,5,5,5,5,3,3,4,3,4.25,4,-0.25,N,622,29-08-21 9:12
9961586J43,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,3,3,3,3,5,4,5,5,5,4,5,5,3,5,4,5,2,2,4.31,4.25,-0.06,N,4,5,5,3,4,5,4,1,5,5,4.4,3.8,-0.6,N,5,5,4,4,5,5,4,2,2,2,5,5,5,5,4,5,4,5,4,5,4.2,4.2,0,N,5,5,4,4,4,4,5,5,4.5,4.5,0,N,5,5,5,5,4,2,2,3,4,4.25,0.25,Y,612,29-08-21 9:01
1799087Z65,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,5,5,5,5,1,5,5,5,5,1,1,3,5,3,5,3,5,3,5,3,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,3.88,4.5,0.63,Y,3,1,1,1,4,3,1,1,5,5,2.8,2.2,-0.6,N,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.6,-0.2,N,5,5,3,1,5,5,5,5,4.5,4,-0.5,N,3,5,1,1,3,5,5,5,3,3.5,0.5,Y,559,29-08-21 7:20
9493062M71,Khair,18 -24,Male,Yes,"Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4.94,4.69,-0.25,N,1,2,3,2,1,1,3,2,5,5,2.6,2.4,-0.2,N,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,4.6,4.6,0,N,5,5,4,2,5,5,5,5,4.75,4.25,-0.5,N,5,5,5,5,3,3,3,3,4,4.25,0.25,Y,514,29-08-21 6:32
1515100S55,Khair,18 -24,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,4,4,4,4,4,4,4,4,4,2,3,3,2,3,3,5,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3.75,3.63,-0.13,N,3,3,3,3,3,3,3,3,3,4,3,3.2,0.2,Y,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3.7,3.8,0.1,Y,5,5,3,3,3,4,3,4,3.5,4,0.5,Y,3,4,3,3,3,3,4,4,3.25,3.5,0.25,Y,460,29-08-21 3:06
2211605A95,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,4,3,4,3,5,4,5,4,5,5,5,5,5,3,4,4,5,3,3,3,3,4,3,3,3,3,3,3,5,4,5,3,5,5,5,3.69,4.31,0.63,Y,3,3,2,2,2,3,3,2,5,5,3,3,0,N,5,5,4,4,3,4,2,3,2,2,4,5,4,4,3,4,5,5,4,4,3.6,4,0.4,Y,5,5,3,3,5,5,5,5,4.5,4.5,0,N,5,5,5,5,3,3,3,4,4,3.5,-0.5,N,428,28-08-21 15:56
9116721W26,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,N,1,1,1,1,5,5,1,1,5,5,2.6,2.6,0,N,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4.6,4.6,0,N,5,5,1,1,5,5,5,5,4,4,0,N,1,1,1,1,1,1,1,1,1,1,0,N,390,28-08-21 9:34
6931365G64,Khair,18 -24,Male,Yes,Partner (BF/GF),No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1,5,5,2,5,3,5,5,5,5,5,5,5,5,5,5,5,4.63,4.69,0.06,Y,4,5,4,5,4,4,4,4,2,5,3.6,4.6,1,Y,4,3,4,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4.5,4.4,-0.1,N,2,5,4,5,5,5,5,5,4,5,1,Y,2,5,5,5,5,3,2,1,3.5,3.75,0.25,Y,592,29-08-21 8:32
5520252T29,Khair,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,3,3,3,3,4,4,4,3,5,5,5,5,5,5,5,5,5,5,4.44,4.56,0.13,Y,3,4,4,4,3,3,3,2,5,5,3.6,3.6,0,N,3,4,4,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,3,4,4.1,4.3,0.2,Y,2,5,3,3,5,5,5,5,3.75,4.5,0.75,Y,5,5,4,3,3,3,2,2,3.5,4,0.5,Y,436,28-08-21 17:07
