UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
4334303B19,Lim Hie Kak,25 - 34,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.13,0.13,Y,3,2,3,2,3,4,3,2,3,3,3,2.6,-0.4,N,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.1,0.1,Y,3,4,3,2,3,4,3,4,3,3.5,0.5,Y,3,3,3,3,3,3,3,3,3,3.5,0.5,Y,1022,03-09-21 16:25
8.14E+25,Lim Hie Kak,25 - 34,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,7,2,2,2,2,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4.25,4.75,0.5,Y,2,5,2,1,1,1,4,1,5,1,2.8,1.8,-1,N,4,5,3,3,3,5,5,5,5,5,5,5,5,5,3,5,3,5,3,3,3.9,4.6,0.7,Y,3,5,5,5,4,5,4,5,4,5,1,Y,5,5,5,5,5,5,2,2,4.25,4.5,0.25,Y,1023,03-09-21 16:38
3947365Z42,Lim Hie Kak,25 - 34,Male,Yes,Friend,No,ITE,C2C Social Media Invasion,3,4,4,4,3,5,4,5,4,5,3,5,2,5,3,5,3,4,2,1,4,5,4,1,3,5,4,5,4,5,4,5,4,5,4,5,3.44,4.44,1,Y,2,5,3,4,3,2,1,1,3,1,2.4,2.6,0.2,Y,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4.6,4.8,0.2,Y,3,5,2,4,3,5,4,5,3,4.75,1.75,Y,4,5,5,1,3,1,3,1,3.75,2.25,-1.5,N,1059,04-09-21 5:35
5792256C48,Lim Hie Kak,25 - 34,Male,Yes,"Family Member
Friend
Classmate",No,Polytechnic,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,3,5,3,5,3,4,3,5,5,5,5,5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,4.25,4.69,0.44,Y,5,5,4,5,2,3,3,3,1,1,3,3.4,0.4,Y,4,4,3,4,5,3,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4.6,4.4,-0.2,N,3,5,5,3,4,5,4,5,4,4.5,0.5,Y,5,5,3,5,1,1,1,2,2.5,3,0.5,Y,1067,04-09-21 8:27
8750644I13,Lim Hie Kak,45 - 54,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,8,4,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,3,3,3,3,3,2,3,4,3,4,3,4,3,4,3,4,3,3.69,0.69,Y,3,4,3,3,3,4,3,2,3,4,3,3.4,0.4,Y,3,4,3,4,3,4,3,4,3,2,3,4,3,4,3,4,3,4,3,4,3,3.7,0.7,Y,3,5,3,4,3,4,3,3,3,4,1,Y,3,2,3,4,3,4,3,4,3,3,0,N,219,09-08-21 12:51
4185999H80,Lim Hie Kak,18 -24,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,7,5,5,5,3,5,3,5,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,0.5,Y,3,3,3,3,3,4,3,4,3,3,3,3.4,0.4,Y,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.2,0.2,Y,3,4,3,4,3,5,3,5,3,4.5,1.5,Y,3,3,3,3,3,3,3,3,3,3.25,0.25,Y,30,01-07-21 15:57
7474999H65,Lim Hie Kak,18 -24,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,6,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,32,08-07-21 14:02
3675003D33,Lim Hie Kak,45 - 54,Male,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,5,4,4,4,4,4,4,5,2,4,5,5,4,2,4,4,5,5,4,5,4,4,2,4,2,4,4,4,4,5,4,5,4,5,4,5,3.75,4.38,0.63,Y,4,3,2,2,4,2,4,2,4,5,3.6,2.8,-0.8,N,5,5,4,4,4,4,5,5,4,5,4,5,4,5,5,5,5,5,4,4,4.4,4.7,0.3,Y,1,5,4,3,4,5,4,5,3.25,4.5,1.25,Y,4,5,5,1,4,2,2,4,3.75,2.75,-1,N,220,09-08-21 12:57
8672416018,Lim Hie Kak,55 - 64,Female,Yes,Colleague,No,Junior College/ Pre-University Institution,C2C Social Media Invasion,3,4,4,4,3,4,4,5,2,5,4,4,4,4,2,2,4,4,2,2,3,5,2,2,2,2,4,2,4,5,4,5,4,4,3,3,3.19,3.63,0.44,Y,5,2,3,3,5,4,2,1,4,5,3.8,3,-0.8,N,5,5,4,4,5,5,5,5,3,4,5,5,5,5,5,5,5,5,3,4,4.5,4.6,0.1,Y,2,5,4,5,3,4,2,5,2.75,4.75,2,Y,4,5,5,5,2,2,4,3,3.75,4,0.25,Y,786,31-08-21 9:03
2700553B69,Lim Hie Kak,18 -24,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,4,4,4,4,5,5,4,5,4,5,3,3,2,2,3,2,5,4,4,4,4,2,2,2,2,2,5,5,5,5,4,5,4,5,4,5,3.75,3.81,0.06,Y,4,3,3,3,3,3,2,2,4,5,3.2,3.2,0,N,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.9,0.1,Y,2,4,5,5,4,5,4,5,3.75,4.75,1,Y,2,2,3,4,2,3,3,3,2.5,3,0.5,Y,80,15-07-21 16:19
