UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
2369920D83,Melanie Sim,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3.2,0.2,Y,3,4,3,3,3,3,3,3,3,3.25,0.25,Y,3,3,3,4,3,3,3,3,3,3.25,0.25,Y,898,02-09-21 12:03
6759310B78,Melanie Sim,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,4,4,4,4,4,5,2,1,5,5,4,4,3,4,3,4,4,5,3,2,4,5,2,5,2,4,4,5,4,5,4,5,4,5,4,4,3.5,4.25,0.75,Y,3,4,3,2,3,4,3,2,3,4,3,3.2,0.2,Y,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,4,5,5,4,5,4.4,4.8,0.4,Y,3,5,3,5,4,5,5,5,3.75,5,1.25,Y,5,5,5,5,4,3,2,2,4,4,0,N,909,02-09-21 13:04
1203700D26,Melanie Sim,25 - 34,Female,Yes,Friend,No,University Degree,C2C Social Media Invasion,5,3,3,3,3,3,3,3,4,4,3,5,4,4,4,4,5,5,3,3,3,3,3,3,3,3,4,2,2,2,3,3,3,3,2,2,3.25,3.25,0,N,4,4,4,4,3,2,5,5,3,3,3.8,3.6,-0.2,N,3,2,5,5,3,4,5,5,2,3,5,5,5,5,4,4,4,4,3,3,3.9,4,0.1,Y,3,3,4,5,2,3,3,3,3,3.5,0.5,Y,5,5,5,5,3,3,2,2,3.75,3.75,0,N,911,02-09-21 13:12
7230025Z91,Melanie Sim,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,4,3,3,3,5,3,5,5,5,5,3,3,5,5,3,4,3,4,3,4,4,4,5,4,5,4,5,5,5,5,4,5,5,5,5,5,4.38,4.38,0,N,4,3,5,5,3,3,4,5,4,3,4,3.8,-0.2,N,4,4,4,4,3,3,5,5,3,1,5,5,5,5,5,5,5,5,3,3,4.2,4,-0.2,N,3,4,3,5,4,4,4,4,3.5,4.25,0.75,Y,5,5,5,5,3,2,3,3,4,3.5,-0.5,N,1087,06-09-21 11:52
5785964D60,Melanie Sim,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,8,5,5,5,3,3,3,3,3,3,3,3,3,4,3,4,3,5,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3.44,0.44,Y,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2.7,-0.3,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,117,21-07-21 17:18
7499367D26,Melanie Sim,18 -24,Male,Yes,"Friend
Colleague",No,Polytechnic,C2C Social Media Invasion,3,5,5,5,3,5,3,5,3,5,3,4,3,5,3,5,3,5,3,4,3,4,3,4,3,3,3,5,3,5,3,5,3,5,3,5,3,4.63,1.63,Y,3,5,3,3,3,4,3,3,3,5,3,4,1,Y,3,3,3,4,3,4,3,5,3,5,3,5,3,4,3,5,3,4,3,3,3,4.2,1.2,Y,3,5,3,5,3,5,3,5,3,5,2,Y,3,3,3,3,3,1,3,2,3,2.5,-0.5,N,121,22-07-21 15:15
4684683H39,Melanie Sim,18 -24,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,8,5,5,5,3,4,3,5,3,5,2,4,4,5,3,5,5,5,5,5,3,4,3,3,3,3,3,5,3,5,3,5,3,5,3,5,3.25,4.56,1.31,Y,3,3,3,3,4,5,2,1,3,5,3,3.4,0.4,Y,3,3,1,4,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2.8,3.5,0.7,Y,3,5,2,4,4,4,3,4,3,4.25,1.25,Y,3,1,3,3,3,2,3,1,3,2,-1,N,123,22-07-21 15:23
4786224G72,Melanie Sim,18 -24,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,4,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,3,0,N,3,3,3,3,3,3,3,3,3,2.5,-0.5,N,133,25-07-21 12:53
8282818D69,Melanie Sim,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,5,5,5,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,5,4,5,4,4,4,4,4,3.38,3.94,0.56,Y,3,4,3,4,2,4,3,2,3,3,2.8,3.4,0.6,Y,3,3,3,4,3,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,3.4,3.9,0.5,Y,3,3,3,4,3,4,3,4,3,3.75,0.75,Y,3,4,3,4,3,4,3,4,3,3.75,0.75,Y,145,25-07-21 14:52
1331628H16,Melanie Sim,18 -24,Male,Yes,Friend,No,Upper Secondary School,C2C Social Media Invasion,7,5,5,5,3,5,3,5,3,5,3,3,3,5,3,5,3,5,3,5,3,2,3,2,3,2,3,5,3,5,3,5,3,5,3,5,3,4.31,1.31,Y,3,4,3,5,3,5,3,4,3,2,3,4,1,Y,3,3,3,4,3,2,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,3.7,0.7,Y,3,4,3,3,3,4,3,4,3,3.75,0.75,Y,3,2,3,5,3,1,3,2,3,3,0,N,148,25-07-21 15:07
