UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
8.25E+103,Siti Radiah,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,4,4,4,3,2,3,2,3,4,3,5,3,4,3,4,3,5,3,2,3,2,3,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3.13,0.13,Y,3,4,3,2,3,4,3,2,3,4,3,3.2,0.2,Y,3,4,3,4,3,4,3,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,1,Y,3,4,3,4,3,4,3,4,3,4,1,Y,3,4,3,5,3,2,3,2,3,3,0,N,357,29-08-21 5:29
1.94E+65,Siti Radiah,25 - 34,Female,Yes,Family Member,No,University Degree,C2C Social Media Invasion,7,5,5,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,2,2,2,3,5,5,5,5,3,4,4,4,2,3,3.94,4.25,0.31,Y,5,4,5,5,2,1,4,4,3,4,3.8,3.6,-0.2,N,4,5,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,3,3,4,4,0,N,3,4,4,4,3,4,4,4,3.5,4,0.5,Y,4,4,5,5,4,5,4,2,4.25,4,-0.25,N,455,29-08-21 2:43
5703552I27,Siti Radiah,18 -24,Male,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,7,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,3,2,3,4,3,4,3,4,3,4,3,4,3,3.75,3,-0.75,N,4,3,4,3,4,3,3,3,2,3,3.4,3,-0.4,N,4,3,4,3,2,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3.8,3.1,-0.7,N,3,3,4,3,4,3,4,3,3.75,3,-0.75,N,4,3,4,3,2,3,2,3,3,2.75,-0.25,N,555,29-08-21 7:14
2642168Z86,Siti Radiah,35 - 44,Female,Yes,"Family Member
Friend",No,Postgraduate Degree,C2C Social Media Invasion,3,5,4,5,4,5,5,5,5,5,3,3,4,5,4,5,5,5,5,5,5,5,2,3,2,3,5,5,5,5,5,5,5,5,3,3,4.19,4.5,0.31,Y,5,5,3,3,3,1,3,2,5,5,3.8,3.2,-0.6,N,4,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4.7,4.9,0.2,Y,3,5,5,5,5,5,5,5,4.5,5,0.5,Y,5,5,5,5,2,2,2,3,3.5,3.75,0.25,Y,704,29-08-21 16:15
5098767F46,Siti Radiah,18 -24,Female,Yes,"Family Member
Friend
Colleague
Classmate",No,University Degree,C2C Social Media Invasion,5,3,3,3,4,5,5,1,5,5,5,5,5,3,5,3,5,5,3,2,3,5,3,3,3,4,5,5,5,5,5,5,5,5,5,5,4.44,4.13,-0.31,N,4,5,4,2,3,3,2,2,3,3,3.2,3,-0.2,N,5,5,3,3,2,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.4,4.6,0.2,Y,3,5,3,3,5,5,5,5,4,4.5,0.5,Y,3,3,3,3,3,3,2,2,2.75,3,0.25,Y,926,03-09-21 0:29
2699570A97,Siti Radiah,35 - 44,Female,Yes,Friend,No,Postgraduate Degree,C2C Social Media Invasion,5,3,2,3,2,3,2,4,2,4,4,4,4,5,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,1,2,3.19,3.5,0.31,Y,4,5,2,4,4,2,4,4,2,2,3.2,3.4,0.2,Y,4,5,4,4,5,5,5,5,2,2,5,5,5,5,5,5,5,5,4,4,4.4,4.5,0.1,Y,2,4,4,5,4,4,4,2,3.5,3.75,0.25,Y,4,4,5,5,5,4,2,2,4,3.75,-0.25,N,853,01-09-21 14:58
1811612C38,Siti Radiah,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,8,5,5,4,2,2,4,4,2,4,4,4,5,5,5,5,1,4,5,5,4,3,5,2,5,4,4,5,5,5,4,5,3,4,2,2,3.75,3.94,0.19,Y,5,5,4,4,2,2,5,5,4,4,4,4,0,N,4,4,1,5,4,5,5,5,4,4,2,4,2,4,4,4,2,4,2,2,3,4.1,1.1,Y,2,4,5,5,2,4,4,5,3.25,4.5,1.25,Y,4,5,5,5,4,4,5,5,4.5,4,-0.5,N,904,02-09-21 12:21
1230898G72,Siti Radiah,25 - 34,Male,No,Not Applicable,No,ITE,C2C Social Media Invasion,4,4,4,4,4,2,4,2,5,4,4,5,3,4,3,4,4,5,4,2,3,2,3,2,3,2,5,3,3,3,3,4,3,3,3,3,3.56,3.13,-0.44,N,1,4,1,2,3,4,2,2,2,4,1.8,3.2,1.4,Y,5,4,2,4,1,4,2,5,3,4,4,4,4,4,4,4,4,4,3,4,3.2,4,0.8,Y,4,4,3,4,3,4,3,4,3.25,4,0.75,Y,4,4,3,5,1,2,3,2,2.75,4,1.25,Y,358,30-08-21 5:29
5813662B28,Siti Radiah,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,4,4,4,3,2,3,2,3,4,2,5,4,4,5,4,3,5,2,2,2,2,2,2,2,2,4,3,2,3,4,4,3,3,2,3,2.88,3.13,0.25,Y,2,4,4,2,4,4,2,2,4,4,3.2,3.2,0,N,4,4,4,4,4,4,5,5,4,4,3,4,3,4,3,4,3,4,3,4,3.6,4,0.4,Y,4,4,3,4,2,4,2,4,2.75,4,1.25,Y,2,4,5,5,2,2,2,2,2.75,3.25,0.5,Y,356,28-08-21 5:29
5663665F59,Siti Radiah,25 - 34,Male,Yes,Not Applicable,No,Polytechnic,C2C Social Media Invasion,3,4,4,4,3,2,4,4,4,4,4,4,2,2,3,2,3,4,2,1,2,4,2,2,2,2,3,4,2,2,4,4,2,2,4,4,2.88,2.94,0.06,Y,4,4,4,2,2,4,4,3,2,3,3.2,3.2,0,N,2,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3.8,3.9,0.1,Y,4,5,4,4,4,4,4,4,4,4.25,0.25,Y,4,4,4,4,4,4,3,3,3.75,3.5,-0.25,N,379,28-08-21 8:47
