UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
2227961A47,Veron Huang Simin,25 - 34,Male,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,5,5,5,4,5,4,5,4,5,3,5,3,4,3,4,3,5,2,3,3,3,3,4,3,4,5,5,5,5,5,5,5,5,4,5,3.69,4.5,0.81,Y,2,2,2,1,4,4,2,2,4,5,2.8,2.8,0,N,5,5,4,3,4,5,2,4,4,5,5,5,5,5,5,5,5,5,4,5,4.3,4.6,0.3,Y,3,5,3,4,3,4,4,4,3.25,4.25,1,Y,3,3,3,3,3,3,5,5,3.5,2.75,-0.75,N,224,13-08-21 12:19
7175906Z84,Veron Huang Simin,25 - 34,Female,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,4,4,4,4,2,4,4,4,5,5,3,5,4,2,5,4,4,5,1,2,2,3,2,4,2,2,5,5,4,4,2,5,4,5,3,4,3.25,3.94,0.69,Y,3,2,2,4,4,4,2,2,1,2,2.4,2.8,0.4,Y,5,5,3,5,4,4,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4.4,4.6,0.2,Y,3,4,2,4,2,4,5,4,3,4,1,Y,5,5,5,5,3,2,2,2,3.75,4.25,0.5,Y,226,13-08-21 19:59
4.86E+50,Veron Huang Simin,25 - 34,Male,Yes,"Family Member
Friend",Yes,Postgraduate Degree,C2C Social Media Invasion,4,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1.25,5,3.75,Y,1,5,5,1,1,5,5,1,1,5,2.6,3.4,0.8,Y,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,4.6,3.6,Y,1,5,1,5,1,5,1,5,1,5,4,Y,1,5,1,5,1,1,1,5,1,3.25,2.25,Y,8,28-06-21 12:48
1.79E+74,Veron Huang Simin,18 -24,Male,Yes,"Family Member
Friend",Yes,Postgraduate Degree,C2C Social Media Invasion,8,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1.25,5,3.75,Y,1,5,5,1,1,5,5,1,1,5,2.6,3.4,0.8,Y,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,4.6,3.6,Y,1,5,1,5,1,5,1,5,1,5,4,Y,1,5,1,5,1,5,1,1,1,5,4,Y,58,14-07-21 12:26
7.04E+40,Veron Huang Simin,25 - 34,Male,Yes,"Family Member
Friend",Yes,Postgraduate Degree,C2C Social Media Invasion,8,5,5,4,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1.25,5,3.75,Y,1,5,5,1,1,5,5,1,1,5,2.6,3.4,0.8,Y,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,4.6,3.6,Y,1,5,1,5,1,5,1,5,1,5,4,Y,1,5,1,5,1,5,1,5,1,4,3,Y,827,31-08-21 15:45
2804194C15,Veron Huang Simin,35 - 44,Male,Yes,Not Applicable,No,University Degree,C2C Social Media Invasion,7,5,5,5,3,5,3,5,5,5,5,5,1,1,3,3,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,5,3,5,1,3,3.75,4.38,0.63,Y,5,5,1,1,4,5,3,3,5,5,3.6,3.8,0.2,Y,5,5,4,4,1,5,1,3,3,3,5,5,5,5,5,5,5,5,3,5,3.7,4.3,0.6,Y,1,4,3,3,3,3,3,3,2.5,3.25,0.75,Y,5,5,5,5,5,5,5,3,5,5,0,N,1003,03-09-21 15:02
7410878B95,Veron Huang Simin,45 - 54,Female,Yes,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,N,5,5,6,5,1,1,5,5,1,1,3.6,3.4,-0.2,N,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,0,N,1,1,5,5,1,1,1,1,2,2,0,N,5,5,5,5,5,5,5,5,5,4.5,-0.5,N,10,28-06-21 15:20
12218210D92,Veron Huang Simin,35 - 44,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,4,3,3,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,4,5,4,5,5,5,4,4,4.5,4.63,0.13,Y,5,5,5,5,4,4,4,2,3,4,4.2,4,-0.2,N,4,4,3,3,5,5,5,5,4,4,5,5,5,5,4,4,5,5,4,4,4.4,4.4,0,N,2,4,4,4,4,5,5,5,3.75,4.5,0.75,Y,2,4,5,5,4,5,2,2,3.25,4.75,1.5,Y,308,22-08-21 9:29
6079023A31,Veron Huang Simin,25 - 34,Female,Yes,"Friend
Classmate",No,Postgraduate Degree,C2C Social Media Invasion,3,5,5,5,4,4,4,5,5,5,4,4,4,2,5,5,5,5,5,5,5,4,4,5,2,2,5,2,5,5,2,5,5,4,3,3,4.19,4.06,-0.13,N,4,5,4,2,3,3,3,3,4,2,3.6,3,-0.6,N,5,5,2,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,4.4,4.8,0.4,Y,2,4,4,4,4,5,5,5,3.75,4.5,0.75,Y,3,3,4,4,4,4,2,2,3.25,3.25,0,N,197,07-08-21 6:23
4357419G61,Veron Huang Simin,35 - 44,Female,Yes,"Family Member
Friend",Yes,Postgraduate Degree,C2C Social Media Invasion,4,5,5,5,2,4,4,4,2,4,4,4,5,4,4,4,5,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,3.88,3.75,-0.13,N,5,5,4,4,5,5,4,2,4,5,4.4,4.2,-0.2,N,4,4,5,4,5,5,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4.1,4,-0.1,N,5,4,4,5,4,4,4,4,4.25,4.25,0,N,5,4,5,5,4,4,2,2,4,3.75,-0.25,N,1024,03-09-21 16:43
6849653G79,Veron Huang Simin,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,4,3,4,3,3,4,3,4,4,4,4,4,5,2,2,4,5,4,4,4,5,3,5,4,3,4,5,3,4,4,4,3,3,2,3,3.5,3.88,0.38,Y,5,5,3,5,3,3,5,3,3,4,3.8,4,0.2,Y,3,5,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,5,4,4,3.9,4.6,0.7,Y,4,4,3,3,4,3,4,5,3.75,3.75,0,N,3,2,4,5,3,4,2,2,3,3.25,0.25,Y,287,16-08-21 7:09
2748295D31,Veron Huang Simin,35 - 44,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,8,4,4,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,5,5,5,5,5,5,5,5,5,4.69,4.44,-0.25,N,5,5,5,5,5,4,1,1,4,5,4,4,0,N,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.6,-0.4,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,5,1,5,5,5,5,2,2,4.25,3.25,-1,N,440,28-08-21 18:42
3946295D97,Veron Huang Simin,35 - 44,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,6,4,4,4,5,5,5,5,5,5,5,4,5,4,5,2,5,5,5,5,5,4,5,2,2,3,3,3,5,5,5,5,5,5,5,5,4.69,4.19,-0.5,N,5,5,5,4,5,5,1,1,4,4,4,3.8,-0.2,N,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.7,-0.3,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,5,5,5,5,5,5,2,3,4.25,4.25,0,N,468,29-08-21 5:14
3373295D47,Veron Huang Simin,35 - 44,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,2,2,2,3,3,5,5,5,5,5,5,5,5,4.69,4.31,-0.38,N,5,5,5,5,5,4,1,1,4,5,4,4,0,N,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,-0.2,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,5,5,5,5,5,4,2,2,4.25,4.25,0,N,469,29-08-21 5:18
2915295D91,Veron Huang Simin,35 - 44,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,8,5,5,4,5,5,5,5,5,5,5,4,5,4,5,2,5,5,5,5,5,4,5,2,2,4,3,4,5,5,5,5,5,5,5,5,4.69,4.31,-0.38,N,5,5,5,5,5,4,1,1,4,4,4,3.8,-0.2,N,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,-0.1,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,5,5,5,5,5,5,2,2,4.25,4.25,0,N,710,29-08-21 23:06
6951295D42,Veron Huang Simin,35 - 44,Male,Yes,Family Member,No,University Degree,C2C Social Media Invasion,8,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,2,5,2,2,3,3,2,5,5,5,5,5,5,5,5,4.69,4.13,-0.56,N,5,5,5,5,5,4,1,1,4,4,4,3.8,-0.2,N,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,-0.1,N,4,5,5,5,5,5,5,5,4.75,5,0.25,Y,5,5,5,5,5,5,2,2,4.25,4.25,0,N,711,29-08-21 23:11
3931695D90,Veron Huang Simin,35 - 44,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,4,5,5,4,2,3,3,3,2,3,5,5,4,5,5,5,5,5,3,3,2,2,2,2,2,2,3,4,3,3,2,3,2,3,1,2,2.88,3.31,0.44,Y,3,2,3,2,4,4,3,3,3,4,3.2,3,-0.2,N,5,5,4,5,3,5,3,3,4,3,4,4,3,4,3,4,4,4,3,4,3.6,4,0.4,Y,4,5,4,3,3,3,3,2,3.5,3.25,-0.25,N,4,4,3,2,4,3,3,3,3.5,2.75,-0.75,N,300,19-08-21 2:28
1269736D98,Veron Huang Simin,35 - 44,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,3,4,4,4,4,4,4,4,4,5,4,4,4,4,2,3,3,3,2,4,4,4,2,3,3,4,2,2,3,4,4,4,4,4,3,3,3.25,3.69,0.44,Y,4,4,4,2,2,2,3,2,3,5,3.2,3,-0.2,N,4,5,4,5,4,5,4,3,4,4,4,5,4,5,4,5,4,5,4,5,4,4.6,0.6,Y,4,4,4,4,4,4,4,4,4,4,0,N,2,4,2,4,2,4,2,2,2,3.75,1.75,Y,295,17-08-21 12:42
4407327C39,Veron Huang Simin,35 - 44,Female,Yes,Family Member,No,University Degree,C2C Social Media Invasion,8,4,4,3,3,4,4,4,3,4,5,5,4,3,3,3,3,5,2,2,4,5,3,4,3,4,2,4,4,5,4,4,4,5,3,3,3.38,4,0.63,Y,3,4,3,2,4,3,3,2,4,4,3.4,3,-0.4,N,4,4,4,3,4,5,5,5,4,4,5,5,5,5,4,4,5,4,4,4,4.4,4.3,-0.1,N,4,5,3,4,4,4,4,5,3.75,4.5,0.75,Y,3,4,5,5,5,4,2,2,3.75,3.75,0,N,202,07-08-21 15:05
3202ASDASD19,Veron Huang Simin,25 - 34,Female,No,"Family Member
Friend",No,Upper Secondary School,C2C Social Media Invasion,6,5,5,5,2,3,1,3,2,4,2,3,4,4,3,4,3,4,3,3,3,3,3,3,3,2,4,4,3,4,3,4,3,4,1,1,2.69,3.31,0.63,Y,2,2,2,2,4,5,2,1,3,4,2.6,2.8,0.2,Y,4,5,4,5,4,4,5,5,3,4,5,5,4,4,4,4,3,4,4,4,4,4.4,0.4,Y,4,4,2,2,4,4,4,4,3.5,3.5,0,N,3,4,5,5,4,3,3,3,3.75,3.5,-0.25,N,22,30-06-21 15:05
