UNIQ_ID2,REFERRER,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_AT_PT1,Post_AT_PT1,Pre_AT_PT2,Post_AT_PT2,Pre_AT_PT3,Post_AT_PT3,Pre_AT_WT5,Post_AT_WT5,Pre_AT_CT1,Post_AT_CT1,Pre_AT_CT2,Post_AT_CT2,Pre_AT_CT3,Post_AT_CT3,Pre_AT_CT4,Post_AT_CT4,Pre_AT_LA1,Post_AT_LA1,Pre_AT_LA2,Post_AT_LA2,Pre_AT_LA3,Post_AT_LA3,Pre_AT_SC6,Post_AT_SC6,Pre_ST_SD1,Post_ST_SD1,Pre_ST_SD2,Post_ST_SD2,Pre_ST_SD3,Post_ST_SD3,Pre_ST_SD4,Post_ST_SD4,Pre_MR1,Post_MR1,X_MR1,I_MR1,Pre_NCSS_P2,Post_NCSS_P2,Pre_AT_WT2,Post_AT_WT2,Pre_AT_WT3,Post_AT_WT3,Pre_AT_WT4,Post_AT_WT4,Pre_AT_LA4,Post_AT_LA4,Pre_MR2,Post_MR2,X_MR2,I_MR2,Pre_AT_WT1,Post_AT_WT1,Pre_AT_CT5,Post_AT_CT5,Pre_AT_LA5,Post_AT_LA5,Pre_AT_SC2,Post_AT_SC2,Pre_ST_SD5,Post_ST_SD5,Pre_ST_SR2,Post_ST_SR2,Pre_ST_SR1,Post_ST_SR1,Pre_ST_SR3,Post_ST_SR3,Pre_ST_SR4,Post_ST_SR4,Pre_ST_SR5,Post_ST_SR5,Pre_MR3,Post_MR3,X_MR3,I_MR3,Pre_NCSS_P1,Post_NCSS_P1,Pre_NCSS_P3,Post_NCSS_P3,Pre_NCSS_P4,Post_NCSS_P4,Pre_NCSS_P5,Post_NCSS_P5,Pre_MR4,Post_MR4,X_MR4,I_MR4,Pre_AT_SC1,Post_AT_SC1,Pre_AT_SC3,Post_AT_SC3,Pre_AT_SC4,Post_AT_SC4,Pre_AT_SC5,Post_AT_SC5,Pre_MR5,Post_MR5,X_MR5,I_MR5,ENTRY_ID,DATE_TIME
3428751G77,Ng Sok Mei Vivien,35 - 44,Male,No,Not Applicable,No,University Degree,C2C Social Media Invasion,5,2,4,4,2,4,2,3,2,4,4,4,4,4,2,4,2,4,2,4,2,4,2,2,2,2,4,4,2,4,2,4,2,4,2,2,2.38,3.56,1.19,Y,4,4,3,2,2,4,4,2,2,4,3,3.2,0.2,Y,4,5,4,4,4,4,4,5,3,2,4,4,4,4,3,4,4,4,3,4,3.7,3.9,0.2,Y,1,4,3,4,3,4,2,4,2.25,4,1.75,Y,4,4,4,5,4,5,4,4,4,4.25,0.25,Y,417,28-08-21 14:12
5280236H20,Ng Sok Mei Vivien,35 - 44,Female,Yes,Friend,No,University Degree,C2C Social Media Invasion,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,5,4,3,3,3,4,3,3,3,3.44,3.44,0,N,5,5,3,3,3,3,3,3,4,4,3.6,3.6,0,N,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,N,1,3,5,5,4,3,4,3,3.5,3.5,0,N,5,5,5,5,5,5,2,5,4.25,4.75,0.5,Y,728,30-08-21 6:34
4898017B61,Ng Sok Mei Vivien,25 - 34,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,3,3,3,4,4,4,5,4,5,5,5,4,2,4,3,4,4,3,2,4,4,4,5,3,4,4,4,4,4,4,5,4,5,3,3,3.88,4,0.13,Y,4,4,4,4,3,5,4,4,4,5,3.8,4.4,0.6,Y,4,5,4,5,4,4,4,4,4,5,5,5,5,5,4,4,4,5,3,3,4.1,4.5,0.4,Y,2,4,4,3,4,4,4,4,3.5,3.75,0.25,Y,4,5,4,5,3,2,1,2,3,4.25,1.25,Y,363,28-08-21 6:27
7629041D20,Ng Sok Mei Vivien,35 - 44,Female,No,Not Applicable,No,Polytechnic,C2C Social Media Invasion,6,4,4,4,2,3,3,5,3,3,5,5,3,4,3,2,2,2,3,2,5,3,3,2,3,3,2,2,4,3,5,4,3,4,3,3,3.25,3.13,-0.13,N,5,4,4,4,2,2,5,3,3,4,3.8,3.4,-0.4,N,2,5,4,4,3,3,5,5,4,5,5,5,5,5,3,3,4,4,3,3,3.8,4.2,0.4,Y,2,4,3,5,4,4,5,5,3.5,4.5,1,Y,5,5,4,2,3,2,5,4,4.25,2.75,-1.5,N,441,28-08-21 18:55
6067955D55,Ng Sok Mei Vivien,35 - 44,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,6,2,4,3,2,5,2,5,2,5,4,5,4,2,4,5,4,5,4,5,3,2,5,4,2,2,4,2,4,5,3,5,3,5,2,3,3.25,4.06,0.81,Y,5,5,4,1,5,5,1,1,3,4,3.6,3.2,-0.4,N,2,5,5,4,5,5,5,5,2,3,5,1,4,1,4,5,4,5,3,4,3.9,3.7,-0.2,N,5,5,5,5,3,5,4,5,4.25,5,0.75,Y,4,5,5,5,5,3,4,3,4.5,4.25,-0.25,N,367,28-08-21 7:01
8.84E+66,Ng Sok Mei Vivien,45 - 54,Male,Yes,Friend,No,University Degree,C2C Social Media Invasion,6,5,5,4,4,4,4,4,5,5,4,4,2,4,4,5,4,5,4,2,4,5,4,5,4,5,3,3,4,4,4,5,4,5,2,3,3.75,4.25,0.5,Y,4,5,4,4,2,1,2,2,5,5,3.4,3.4,0,N,4,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,4.6,4.7,0.1,Y,5,5,4,5,4,4,5,5,4.5,4.75,0.25,Y,5,5,5,5,2,4,5,5,4.25,4.25,0,N,723,30-08-21 4:08
2750849D50,Ng Sok Mei Vivien,18 -24,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,5,2,2,2,5,3,4,3,5,3,5,3,4,3,4,3,5,5,1,2,4,3,2,1,2,1,4,4,4,3,5,4,4,4,2,3,3.75,3,-0.75,N,2,3,1,1,5,3,3,3,4,3,3,2.6,-0.4,N,5,3,5,4,1,3,5,5,3,1,5,5,5,5,4,5,5,5,3,4,4.1,3.9,-0.2,N,5,3,5,3,3,3,5,3,4.5,3,-1.5,N,4,3,5,2,2,1,1,1,3,2.75,-0.25,N,869,02-09-21 9:46
3814849D58,Ng Sok Mei Vivien,18 -24,Male,No,Not Applicable,No,Upper Secondary School,C2C Social Media Invasion,6,3,3,3,5,5,4,5,5,4,5,5,4,3,4,5,5,5,1,2,4,4,2,1,2,2,4,5,4,5,5,5,4,3,2,2,3.75,3.81,0.06,Y,2,3,1,3,5,3,3,3,4,4,3,3.2,0.2,Y,5,3,5,4,1,2,5,5,3,4,5,5,5,5,4,4,5,5,3,3,4.1,4,-0.1,N,5,3,5,5,3,4,5,5,4.5,4.25,-0.25,N,4,3,5,4,2,2,1,2,3,2.5,-0.5,N,888,02-09-21 11:28
2240477B64,Ng Sok Mei Vivien,25 - 34,Female,Yes,"Friend
Colleague
Not Applicable",No,University Degree,C2C Social Media Invasion,8,3,4,4,5,4,5,4,5,5,5,4,5,3,3,5,4,4,5,5,4,3,4,3,2,2,4,4,5,5,5,5,3,3,3,3,4.19,3.88,-0.31,N,5,5,2,4,2,2,3,1,4,3,3.2,3,-0.2,N,5,5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,4,5,3,4,4.3,4.7,0.4,Y,5,5,4,5,5,5,5,5,4.75,5,0.25,Y,5,5,5,5,2,3,2,2,3.5,3.75,0.25,Y,1078,05-09-21 12:07
1206946A74,Ng Sok Mei Vivien,35 - 44,Female,No,Not Applicable,No,University Degree,C2C Social Media Invasion,5,4,3,3,4,5,5,5,4,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,4.56,4.81,0.25,Y,5,5,1,2,4,4,2,1,5,4,3.4,3.2,-0.2,N,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4.7,4.7,0,N,4,5,5,5,4,5,5,5,4.5,5,0.5,Y,4,5,5,5,3,4,3,3,3.75,4,0.25,Y,349,28-08-21 5:15
6344851F70,Ng Sok Mei Vivien,25 - 34,Male,No,Not Applicable,No,Postgraduate Degree,C2C Social Media Invasion,7,1,1,1,5,3,3,3,5,3,4,3,3,3,3,3,5,3,4,3,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3.75,3,-0.75,N,2,3,2,3,3,3,2,3,3,3,2.4,3,0.6,Y,4,3,3,3,3,3,3,3,4,3,5,3,5,3,3,3,3,3,3,3,3.6,3,-0.6,N,4,3,4,3,4,3,4,3,4,3,-1,N,3,3,3,3,3,3,4,3,3.25,3,-0.25,N,359,28-08-21 5:44
4817354058,Ng Sok Mei Vivien,25 - 34,Female,Yes,Friend,No,Polytechnic,C2C Social Media Invasion,6,4,4,4,4,5,4,5,3,5,2,2,4,3,5,4,4,5,3,4,3,2,4,3,2,3,5,5,3,5,5,5,5,5,5,5,3.81,4.13,0.31,Y,4,5,2,1,4,4,2,1,3,4,3,3,0,N,4,5,3,2,4,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4.6,4.3,-0.3,N,4,5,4,5,4,5,4,5,4,5,1,Y,2,1,3,4,2,4,2,5,2.25,3,0.75,Y,392,28-08-21 9:40
4812634H63,Ng Sok Mei Vivien,25 - 34,Female,Yes,"Family Member
Friend",No,University Degree,C2C Social Media Invasion,3,4,4,4,2,3,5,4,4,4,5,4,5,3,5,4,5,5,4,4,4,5,4,4,4,4,5,4,4,5,5,5,4,5,4,5,4.31,4.25,-0.06,N,4,3,4,2,2,3,3,2,4,5,3.4,3,-0.4,N,4,4,4,4,4,4,5,5,2,2,4,4,4,5,4,5,3,3,3,3,3.7,3.9,0.2,Y,4,4,5,3,4,4,4,4,4.25,3.75,-0.5,N,4,3,5,5,4,2,5,4,4.5,3.75,-0.75,N,393,28-08-21 9:48
8644704D53,Ng Sok Mei Vivien,25 - 34,Male,Yes,"Family Member
Friend",No,Upper Secondary School,C2C Social Media Invasion,4,5,5,5,4,4,5,5,3,4,1,1,3,3,4,4,4,4,2,2,3,3,3,3,3,3,4,5,5,5,4,5,5,4,4,4,3.56,3.69,0.13,Y,3,4,4,2,3,4,4,2,2,3,3.2,3,-0.2,N,4,5,3,3,3,3,4,5,2,2,4,4,4,5,3,5,4,5,4,4,3.5,4.1,0.6,Y,4,5,5,5,3,4,5,4,4.25,4.5,0.25,Y,4,5,4,5,3,2,5,5,4,4,0,N,398,28-08-21 10:06
3970587A23,Ng Sok Mei Vivien,25 - 34,Female,Yes,Friend,No,Postgraduate Degree,C2C Social Media Invasion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,2,2,2,4,5,5,5,5,5,5,5,5,4,2,4.44,4.38,-0.06,N,3,5,2,4,4,4,4,4,4,4,3.4,4.2,0.8,Y,5,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,4,3.9,-0.1,N,4,5,4,2,4,4,3,2,3.75,3.25,-0.5,N,5,5,5,5,5,5,2,2,4.25,5,0.75,Y,422,28-08-21 15:18
